ingredient,form,tier,bioavailability_note,use_case,source
Acetyl-L-Carnitine,Acetyl-L-carnitine HCl with declared purity (≥99%) and stereospecific L-form,Superior,Acetylated form crosses the blood–brain barrier more effectively than L-carnitine,Amino-acid–derived compound / mitochondrial co-factor,science_research.xlsx (internal evidence file - needs_citation)
Acetyl-L-Carnitine,Acetyl-L-carnitine capsules,Acceptable,Acetylated form crosses the blood–brain barrier more effectively than L-carnitine,Amino-acid–derived compound / mitochondrial co-factor,science_research.xlsx (internal evidence file - needs_citation)
Acetyl-L-Carnitine,powders with clear dosage disclosure,Acceptable,Acetylated form crosses the blood–brain barrier more effectively than L-carnitine,Amino-acid–derived compound / mitochondrial co-factor,science_research.xlsx (internal evidence file - needs_citation)
Acetyl-L-Carnitine,"Products with unspecified carnitine form, racemic mixtures,",Reject,Acetylated form crosses the blood–brain barrier more effectively than L-carnitine,Amino-acid–derived compound / mitochondrial co-factor,science_research.xlsx (internal evidence file - needs_citation)
Acetyl-L-Carnitine,unclear acetyl content,Reject,Acetylated form crosses the blood–brain barrier more effectively than L-carnitine,Amino-acid–derived compound / mitochondrial co-factor,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,Highly purified bovine lactoferrin (≥95% purity) with low iron saturation and intact protein structure,Superior,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,Bovine lactoferrin powders,Acceptable,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,capsules with declared mg content and dairy source,Acceptable,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,Partially hydrolysed lactoferrin,Reject,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,"products without purity, source,",Reject,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,iron-saturation disclosure,Reject,"High-purity intact lactoferrin retains antimicrobial, antiviral, and iron-modulating activity",Bioactive milk protein / iron-binding glycoprotein,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,Fortified nutritional yeast with clearly declared amounts of B12 (cyanocobalamin,Superior,"Fortification ensures reliable B12 intake, which unfortified yeast cannot consistently provide",Inactivated yeast / whole-food micronutrient source,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,methylcobalamin) and other B-vitamins,Superior,"Fortification ensures reliable B12 intake, which unfortified yeast cannot consistently provide",Inactivated yeast / whole-food micronutrient source,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,Unfortified nutritional yeast providing natural B-vitamins (excluding reliable B12),Acceptable,"Fortification ensures reliable B12 intake, which unfortified yeast cannot consistently provide",Inactivated yeast / whole-food micronutrient source,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,Products claiming “natural B12” without fortification,Reject,"Fortification ensures reliable B12 intake, which unfortified yeast cannot consistently provide",Inactivated yeast / whole-food micronutrient source,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,verified B12 analysis,Reject,"Fortification ensures reliable B12 intake, which unfortified yeast cannot consistently provide",Inactivated yeast / whole-food micronutrient source,science_research.xlsx (internal evidence file - needs_citation)
Hemp Oil,"Cold-pressed, unrefined hemp seed oil with declared fatty-acid profile and THC-free certification",Superior,Cold-pressed hemp seed oil preserves essential fatty acids and avoids cannabinoid contamination,Botanical seed oil / essential fatty acid source (omega-6 & omega-3),science_research.xlsx (internal evidence file - needs_citation)
Hemp Oil,Refined hemp seed oil with labelled omega-6:omega-3 ratio,Acceptable,Cold-pressed hemp seed oil preserves essential fatty acids and avoids cannabinoid contamination,Botanical seed oil / essential fatty acid source (omega-6 & omega-3),science_research.xlsx (internal evidence file - needs_citation)
Hemp Oil,Products confusing hemp seed oil with CBD/hemp extract,Reject,Cold-pressed hemp seed oil preserves essential fatty acids and avoids cannabinoid contamination,Botanical seed oil / essential fatty acid source (omega-6 & omega-3),science_research.xlsx (internal evidence file - needs_citation)
Hemp Oil,lacking THC testing,Reject,Cold-pressed hemp seed oil preserves essential fatty acids and avoids cannabinoid contamination,Botanical seed oil / essential fatty acid source (omega-6 & omega-3),science_research.xlsx (internal evidence file - needs_citation)
Sea Buckthorn Oil,Cold-pressed sea buckthorn seed + pulp oil with declared omega-7 (palmitoleic acid) and antioxidant profile,Superior,"Cold-pressed oils retain a balanced omega-7/omega-3/omega-6 profile and intact antioxidants, improving bioactivity",Botanical seed and pulp oil blend / essential fatty-acid and antioxidant supplement,science_research.xlsx (internal evidence file - needs_citation)
Sea Buckthorn Oil,Refined sea buckthorn oil with labelled amounts of fatty acids and tocopherols,Acceptable,"Cold-pressed oils retain a balanced omega-7/omega-3/omega-6 profile and intact antioxidants, improving bioactivity",Botanical seed and pulp oil blend / essential fatty-acid and antioxidant supplement,science_research.xlsx (internal evidence file - needs_citation)
Sea Buckthorn Oil,"Products without species identification, no fatty-acid profile,",Reject,"Cold-pressed oils retain a balanced omega-7/omega-3/omega-6 profile and intact antioxidants, improving bioactivity",Botanical seed and pulp oil blend / essential fatty-acid and antioxidant supplement,science_research.xlsx (internal evidence file - needs_citation)
Sea Buckthorn Oil,blended with unrelated cheap oils,Reject,"Cold-pressed oils retain a balanced omega-7/omega-3/omega-6 profile and intact antioxidants, improving bioactivity",Botanical seed and pulp oil blend / essential fatty-acid and antioxidant supplement,science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,Standardized fenugreek seed extract with specified ≥50% saponins,Superior,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,≥20% soluble fibre,Superior,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,Whole-seed powder,Acceptable,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,non-standardized extracts with clear botanical identity,Acceptable,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,"Products without species disclosure, no standardization,",Reject,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,blended with cheap fillers,Reject,Standardized extracts ensure consistent saponin/fibre content linked to physiological effects,"Herbal seed extract / phytotherapeutic supplement containing saponins, fibre, and phytoestrogens",science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,Pure D-mannose powder,Superior,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,capsules with ≥99% purity and no added sugars,Superior,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,fillers,Superior,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,D-mannose combined with inert excipients for flow and capsule filling,Acceptable,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,"Blends with high sugar, artificial sweeteners,",Reject,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,unclear D-mannose content,Reject,Pure D-mannose maximizes urinary excretion to potentially help prevent bacterial adhesion,Simple monosaccharide / urinary health supplement,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,"Standardised green tea extract with defined EGCG content (30–60%), low caffeine, and full catechin profile",Superior,Standardisation ensures consistent catechin intake while reducing liver-toxicity risk associated with excessive EGCG,Botanical polyphenol extract / antioxidant phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,Non-standardised green tea extract with declared total polyphenol,Acceptable,Standardisation ensures consistent catechin intake while reducing liver-toxicity risk associated with excessive EGCG,Botanical polyphenol extract / antioxidant phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,catechin content,Acceptable,Standardisation ensures consistent catechin intake while reducing liver-toxicity risk associated with excessive EGCG,Botanical polyphenol extract / antioxidant phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,"High-EGCG concentrates without dosing guidance, unclear caffeine content,",Reject,Standardisation ensures consistent catechin intake while reducing liver-toxicity risk associated with excessive EGCG,Botanical polyphenol extract / antioxidant phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,no liver-safety warnings,Reject,Standardisation ensures consistent catechin intake while reducing liver-toxicity risk associated with excessive EGCG,Botanical polyphenol extract / antioxidant phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Soy Isolate Protein,"Non-GMO soy protein isolate with ≥90% protein content, low residual solvents, and full amino-acid profile disclosure",Superior,High protein purity and complete amino-acid profile (including leucine) supports muscle maintenance comparable to animal proteins,Isolated plant protein / macronutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Soy Isolate Protein,Standard soy protein isolate with declared protein percentage and allergen labelling,Acceptable,High protein purity and complete amino-acid profile (including leucine) supports muscle maintenance comparable to animal proteins,Isolated plant protein / macronutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Soy Isolate Protein,"Highly processed isolates with chemical solvent residues, poor flavour masking,",Reject,High protein purity and complete amino-acid profile (including leucine) supports muscle maintenance comparable to animal proteins,Isolated plant protein / macronutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Soy Isolate Protein,protein spiking,Reject,High protein purity and complete amino-acid profile (including leucine) supports muscle maintenance comparable to animal proteins,Isolated plant protein / macronutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),Standardised elderberry extract from ripe Sambucus nigra berries with defined anthocyanin content,Superior,Standardisation ensures consistent anthocyanin levels linked to antioxidant and immune activity,Botanical fruit extract / polyphenol-rich immune support,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),Juice concentrates,Acceptable,Standardisation ensures consistent anthocyanin levels linked to antioxidant and immune activity,Botanical fruit extract / polyphenol-rich immune support,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),extracts clearly labelled with berry source and extraction ratio,Acceptable,Standardisation ensures consistent anthocyanin levels linked to antioxidant and immune activity,Botanical fruit extract / polyphenol-rich immune support,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),"Products using unripe berries, unspecified Sambucus species,",Reject,Standardisation ensures consistent anthocyanin levels linked to antioxidant and immune activity,Botanical fruit extract / polyphenol-rich immune support,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),no standardisation,Reject,Standardisation ensures consistent anthocyanin levels linked to antioxidant and immune activity,Botanical fruit extract / polyphenol-rich immune support,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,Sustained-release,Superior,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,time-release beta-alanine with declared purity and dosage,Superior,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,Pure beta-alanine powder,Acceptable,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,capsules with clear labelling and dosing instructions,Acceptable,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,Pre-workout blends with undisclosed beta-alanine dose,Reject,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
Beta-Alanine,excessive stimulants,Reject,Sustained-release forms reduce paraesthesia (tingling) while maintaining carnosine-loading benefits,Amino acid / sports performance supplement,science_research.xlsx (internal evidence file - needs_citation)
MCT C8 Oil,100% C8 (caprylic acid) oil with verified fatty-acid profile and no C10/C12 dilution,Superior,"Pure C8 is rapidly absorbed and converted into ketones, providing faster energy than mixed MCTs",Medium-chain triglyceride (fatty acid lipid) / ketogenic energy supplement,science_research.xlsx (internal evidence file - needs_citation)
MCT C8 Oil,MCT oil blends containing C8 + C10 with declared fatty-acid percentages,Acceptable,"Pure C8 is rapidly absorbed and converted into ketones, providing faster energy than mixed MCTs",Medium-chain triglyceride (fatty acid lipid) / ketogenic energy supplement,science_research.xlsx (internal evidence file - needs_citation)
MCT C8 Oil,Mixed MCT oils dominated by C12 (lauric acid),Reject,"Pure C8 is rapidly absorbed and converted into ketones, providing faster energy than mixed MCTs",Medium-chain triglyceride (fatty acid lipid) / ketogenic energy supplement,science_research.xlsx (internal evidence file - needs_citation)
MCT C8 Oil,products without fatty-acid breakdown,Reject,"Pure C8 is rapidly absorbed and converted into ketones, providing faster energy than mixed MCTs",Medium-chain triglyceride (fatty acid lipid) / ketogenic energy supplement,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,L-Tyrosine (free-form) with declared purity (≥99%) and clearly stated dose,Superior,"Pure L-Tyrosine supports consistent dopamine, norepinephrine, and epinephrine synthesis during stress",Amino acid / neurotransmitter precursor supplement,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,L-Tyrosine capsules,Acceptable,"Pure L-Tyrosine supports consistent dopamine, norepinephrine, and epinephrine synthesis during stress",Amino acid / neurotransmitter precursor supplement,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,powders with minimal excipients and transparent labelling,Acceptable,"Pure L-Tyrosine supports consistent dopamine, norepinephrine, and epinephrine synthesis during stress",Amino acid / neurotransmitter precursor supplement,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,Proprietary blends masking tyrosine dose,Reject,"Pure L-Tyrosine supports consistent dopamine, norepinephrine, and epinephrine synthesis during stress",Amino acid / neurotransmitter precursor supplement,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,products using DL-tyrosine mixtures,Reject,"Pure L-Tyrosine supports consistent dopamine, norepinephrine, and epinephrine synthesis during stress",Amino acid / neurotransmitter precursor supplement,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,Pure nicotinamide (niacinamide) with declared dosage and no flushing agents,Superior,Nicotinamide supports NAD⁺ synthesis without causing the flushing commonly associated with niacin,Vitamin (B-complex) / NAD⁺ precursor micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,Nicotinamide tablets,Acceptable,Nicotinamide supports NAD⁺ synthesis without causing the flushing commonly associated with niacin,Vitamin (B-complex) / NAD⁺ precursor micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,capsules with clear labelling and dosage disclosure,Acceptable,Nicotinamide supports NAD⁺ synthesis without causing the flushing commonly associated with niacin,Vitamin (B-complex) / NAD⁺ precursor micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,Products confusing nicotinamide with nicotinic acid (niacin),Reject,Nicotinamide supports NAD⁺ synthesis without causing the flushing commonly associated with niacin,Vitamin (B-complex) / NAD⁺ precursor micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,using mixed B3 forms without disclosure,Reject,Nicotinamide supports NAD⁺ synthesis without causing the flushing commonly associated with niacin,Vitamin (B-complex) / NAD⁺ precursor micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Milk Thistle (Silymarin),Standardised milk thistle extract containing 70–80% silymarin from seeds with declared extraction ratio,Superior,Standardisation ensures consistent silymarin levels associated with antioxidant and hepatoprotective activity,Botanical seed extract / flavonolignan complex (silymarin),science_research.xlsx (internal evidence file - needs_citation)
Milk Thistle (Silymarin),Non-standardised milk thistle seed extracts with clear botanical identification,Acceptable,Standardisation ensures consistent silymarin levels associated with antioxidant and hepatoprotective activity,Botanical seed extract / flavonolignan complex (silymarin),science_research.xlsx (internal evidence file - needs_citation)
Milk Thistle (Silymarin),"Products without silymarin standardisation, mixed plant parts,",Reject,Standardisation ensures consistent silymarin levels associated with antioxidant and hepatoprotective activity,Botanical seed extract / flavonolignan complex (silymarin),science_research.xlsx (internal evidence file - needs_citation)
Milk Thistle (Silymarin),unclear species labelling,Reject,Standardisation ensures consistent silymarin levels associated with antioxidant and hepatoprotective activity,Botanical seed extract / flavonolignan complex (silymarin),science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,"Sodium copper chlorophyllin (SCC) — semi-synthetic, water-soluble copper-substituted chlorophyll derivative with improved stability and bioavailability. This is the form used in most clinical studies and is preferable to natural chlorophyll extracts for standardised supplementation",Superior,"Chlorophyllin is more stable, bioavailable, and consistently dosed compared to natural chlorophyll",Plant pigment / porphyrin compound (often used as chlorophyllin in supplements),science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,Natural chlorophyll extracts from alfalfa,Acceptable,"Chlorophyllin is more stable, bioavailable, and consistently dosed compared to natural chlorophyll",Plant pigment / porphyrin compound (often used as chlorophyllin in supplements),science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,spinach with declared concentration,Acceptable,"Chlorophyllin is more stable, bioavailable, and consistently dosed compared to natural chlorophyll",Plant pigment / porphyrin compound (often used as chlorophyllin in supplements),science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,Crude plant powders,Reject,"Chlorophyllin is more stable, bioavailable, and consistently dosed compared to natural chlorophyll",Plant pigment / porphyrin compound (often used as chlorophyllin in supplements),science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,liquids with undefined chlorophyll content and no standardisation,Reject,"Chlorophyllin is more stable, bioavailable, and consistently dosed compared to natural chlorophyll",Plant pigment / porphyrin compound (often used as chlorophyllin in supplements),science_research.xlsx (internal evidence file - needs_citation)
Curcumin (Longvida),Longvida® curcumin using solid-lipid particle technology to enhance absorption and tissue penetration,Superior,Raw turmeric powders with low curcumin content and no bioavailability enhancement,Botanical polyphenol extract / antioxidant and anti-inflammatory phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Curcumin (Longvida),Standard curcumin extracts with piperine,Acceptable,Raw turmeric powders with low curcumin content and no bioavailability enhancement,Botanical polyphenol extract / antioxidant and anti-inflammatory phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Curcumin (Longvida),phospholipid formulations to enhance uptake,Acceptable,Raw turmeric powders with low curcumin content and no bioavailability enhancement,Botanical polyphenol extract / antioxidant and anti-inflammatory phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Curcumin (Longvida),Raw turmeric powders with low curcumin content and no bioavailability enhancement,Reject,Raw turmeric powders with low curcumin content and no bioavailability enhancement,Botanical polyphenol extract / antioxidant and anti-inflammatory phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Lutein/Zeaxanthin,Standardised lutein (10–20 mg) plus zeaxanthin (2–4 mg) with clear mg per serving and meso-zeaxanthin options,Superior,Combination lutein + zeaxanthin (and optionally meso-zeaxanthin) better supports macular pigment optical density,Carotenoid antioxidants / phytonutrient eye health supplements,science_research.xlsx (internal evidence file - needs_citation)
Lutein/Zeaxanthin,Lutein,Acceptable,Combination lutein + zeaxanthin (and optionally meso-zeaxanthin) better supports macular pigment optical density,Carotenoid antioxidants / phytonutrient eye health supplements,science_research.xlsx (internal evidence file - needs_citation)
Lutein/Zeaxanthin,zeaxanthin alone with declared dose and source,Acceptable,Combination lutein + zeaxanthin (and optionally meso-zeaxanthin) better supports macular pigment optical density,Carotenoid antioxidants / phytonutrient eye health supplements,science_research.xlsx (internal evidence file - needs_citation)
Lutein/Zeaxanthin,Low-dose products (<5 mg lutein) without zeaxanthin and unclear bioavailability,Reject,Combination lutein + zeaxanthin (and optionally meso-zeaxanthin) better supports macular pigment optical density,Carotenoid antioxidants / phytonutrient eye health supplements,science_research.xlsx (internal evidence file - needs_citation)
Lavender Oil (Oral),Standardised oral extracts like Silexan® with verified linalool/linalyl acetate content and documented tolerability,Superior,Standardised extracts ensure predictable linalool/linalyl acetate levels associated with clinical benefit and fewer GI/other side effects,Botanical essential oil / aromatic phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Lavender Oil (Oral),Lavender oil capsules with declared botanical source and extraction method,Acceptable,Standardised extracts ensure predictable linalool/linalyl acetate levels associated with clinical benefit and fewer GI/other side effects,Botanical essential oil / aromatic phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Lavender Oil (Oral),Raw essential oil without dosage standardisation,Reject,Standardised extracts ensure predictable linalool/linalyl acetate levels associated with clinical benefit and fewer GI/other side effects,Botanical essential oil / aromatic phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Lavender Oil (Oral),mixed herb blends without clear lavender content,Reject,Standardised extracts ensure predictable linalool/linalyl acetate levels associated with clinical benefit and fewer GI/other side effects,Botanical essential oil / aromatic phytonutrient supplement,science_research.xlsx (internal evidence file - needs_citation)
Bifidobacterium lactis,"Clinically studied B. lactis strains (e.g., B. lactis HN019, BB-12®) with verified viable CFU counts at expiry",Superior,Verified CFU and strain identity ensure reproducible gut colonisation and clinical benefits,Probiotic culture / live microbial supplement,science_research.xlsx (internal evidence file - needs_citation)
Bifidobacterium lactis,Probiotic blends with declared CFU of B. lactis and clear strain identification,Acceptable,Verified CFU and strain identity ensure reproducible gut colonisation and clinical benefits,Probiotic culture / live microbial supplement,science_research.xlsx (internal evidence file - needs_citation)
Bifidobacterium lactis,"Products with low CFU, undeclared strains,",Reject,Verified CFU and strain identity ensure reproducible gut colonisation and clinical benefits,Probiotic culture / live microbial supplement,science_research.xlsx (internal evidence file - needs_citation)
Bifidobacterium lactis,no expiry viability guarantee,Reject,Verified CFU and strain identity ensure reproducible gut colonisation and clinical benefits,Probiotic culture / live microbial supplement,science_research.xlsx (internal evidence file - needs_citation)
Aloe Vera Juice,"Decolorised, purified inner-leaf aloe vera juice with certified low aloin content (<10 ppm)",Superior,Whole-leaf aloe products or juices without aloin removal or safety certification,Botanical leaf juice / polysaccharide-rich digestive support supplement,science_research.xlsx (internal evidence file - needs_citation)
Aloe Vera Juice,Commercially stabilised inner-leaf aloe vera gel/juice with >10 ppm aloin (<10 ppm certified safe) and clearly labelled concentration ratio. Products with 1:1 inner-leaf juice from reputable suppliers are acceptable provided aloin testing is verified,Acceptable,Whole-leaf aloe products or juices without aloin removal or safety certification,Botanical leaf juice / polysaccharide-rich digestive support supplement,science_research.xlsx (internal evidence file - needs_citation)
Aloe Vera Juice,Stabilised aloe vera juice,Reject,Whole-leaf aloe products or juices without aloin removal or safety certification,Botanical leaf juice / polysaccharide-rich digestive support supplement,science_research.xlsx (internal evidence file - needs_citation)
Aloe Vera Juice,concentrates with clear inner-leaf labelling and aloin testing,Reject,Whole-leaf aloe products or juices without aloin removal or safety certification,Botanical leaf juice / polysaccharide-rich digestive support supplement,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,Pharmaceutical-grade chondroitin sulfate (CS-A,Superior,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,CS-C) with verified molecular weight and purity,Superior,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,"Chondroitin sulfate derived from bovine, porcine,",Acceptable,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,marine sources with declared sulfate content,Acceptable,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,"Low-purity chondroitin, undersulfated material,",Reject,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,products without source and potency disclosure,Reject,Higher purity and correct sulfation pattern improve bioactivity and consistency in joint support,Glycosaminoglycan / joint-health nutraceutical,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,Standardised fennel seed extract with declared volatile-oil (anethole) content and correct botanical identification,Superior,Standardisation ensures consistent anethole levels linked to antispasmodic and carminative effects,Botanical seed / volatile-oil–rich digestive herb,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,Whole,Acceptable,Standardisation ensures consistent anethole levels linked to antispasmodic and carminative effects,Botanical seed / volatile-oil–rich digestive herb,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,crushed fennel seeds and non-standardised extracts with clear plant-part labelling,Acceptable,Standardisation ensures consistent anethole levels linked to antispasmodic and carminative effects,Botanical seed / volatile-oil–rich digestive herb,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,"Products using unspecified plant parts, low-aroma material,",Reject,Standardisation ensures consistent anethole levels linked to antispasmodic and carminative effects,Botanical seed / volatile-oil–rich digestive herb,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,lacking identity testing,Reject,Standardisation ensures consistent anethole levels linked to antispasmodic and carminative effects,Botanical seed / volatile-oil–rich digestive herb,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,"Plant-derived ceramides (e.g., wheat, rice, konjac) with standardised ceramide content and bioavailability data",Superior,Legal in the UK as a food supplement when derived from approved food sources and correctly labelled,Bioactive lipid / sphingolipid skin-health supplement,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,Rice-,Acceptable,Legal in the UK as a food supplement when derived from approved food sources and correctly labelled,Bioactive lipid / sphingolipid skin-health supplement,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,wheat-derived ceramide extracts with declared mg dosage,Acceptable,Legal in the UK as a food supplement when derived from approved food sources and correctly labelled,Bioactive lipid / sphingolipid skin-health supplement,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,Low-dose blends with unspecified ceramide source,Reject,Legal in the UK as a food supplement when derived from approved food sources and correctly labelled,Bioactive lipid / sphingolipid skin-health supplement,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,cosmetic-grade ingredients repurposed for oral use,Reject,Legal in the UK as a food supplement when derived from approved food sources and correctly labelled,Bioactive lipid / sphingolipid skin-health supplement,science_research.xlsx (internal evidence file - needs_citation)
Maca Root,Gelatinised maca root powder,Superior,Gelatinisation improves tolerance and reduces GI discomfort while maintaining macaenes and macamides,Botanical root / adaptogenic plant supplement,science_research.xlsx (internal evidence file - needs_citation)
Maca Root,"extract, which removes starches and improves digestibility while retaining bioactives",Superior,Gelatinisation improves tolerance and reduces GI discomfort while maintaining macaenes and macamides,Botanical root / adaptogenic plant supplement,science_research.xlsx (internal evidence file - needs_citation)
